,地點,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,合計,統計期間
0,大阪,2.8,2.9,5.6,10.7,15.6,20.0,24.3,25.4,21.7,15.5,9.9,5.1,13.3,1981~2010
1,巴黎,2.5,2.8,5.1,6.8,10.5,13.3,15.5,15.4,12.5,9.2,5.3,3.6,8.5,1971~2000
2,日內瓦,-1.9,-0.9,0.8,4.1,8.0,11.3,13.3,13.0,10.3,6.6,2.1,-0.5,5.5,1961~1990
3,加德滿都,2.1,3.8,7.5,11.3,15.5,19.0,20.0,19.7,18.2,13.0,7.4,3.0,11.7,.
4,布里斯班,21.0,20.9,19.6,17.1,13.9,11.0,9.4,10.2,12.7,15.7,18.1,19.9,15.8,1961~1990
5,布宜諾斯艾利斯,20.4,19.4,17.0,13.7,10.3,7.6,7.4,8.9,9.9,13.0,15.9,18.4,13.5,1961~1990
6,布拉格,-5.4,-4.0,-1.0,2.6,7.1,10.5,11.9,11.7,8.7,4.3,0.2,-3.3,3.6,1961~1990
7,布達佩斯,-4.0,-1.7,1.7,6.3,10.8,13.9,15.4,14.9,11.5,6.7,2.1,-1.8,6.3,1961~1990
8,布魯塞爾,0.7,0.6,2.9,4.8,8.9,11.5,13.6,13.4,10.8,7.6,3.7,1.9,6.7,1971~2000
9,吉隆坡,22.1,22.3,22.8,23.4,23.1,23.1,22.7,22.7,22.7,22.9,22.9,22.5,22.8,1961~1990
10,多倫多,-7.3,-6.3,-2.0,3.8,9.9,14.8,17.9,17.3,13.2,7.3,2.2,-3.7,5.6,1971~2000
11,西雅圖,2.7,2.7,4.1,5.7,8.5,11.1,13.1,13.3,11.2,7.7,4.4,2.0,7.2,1981~2010
12,伯力,-24.3,-21.2,-11.7,-0.2,6.7,12.9,16.9,15.7,9.0,0.4,-11.1,-21.1,-2.3,.
13,伯斯,17.8,18.0,16.5,13.5,10.5,8.4,7.7,8.0,9.4,11.2,14.1,16.2,12.6,1994~2010
14,里斯本,8.2,9.0,9.9,11.1,13.0,15.6,17.4,17.7,17.0,14.6,11.2,8.9,12.8,1961~1990
15,拉斯維加斯,4.1,6.3,9.7,13.4,18.8,23.7,27.2,26.3,21.7,14.7,8.1,3.7,14.8,1981~2010
16,東京,2.5,2.9,5.6,10.7,15.4,19.1,23.0,24.5,21.1,15.4,9.9,5.1,12.9,1981~2010
17,河內,13.7,15.0,18.1,21.4,24.3,25.8,26.1,25.7,24.7,21.9,18.5,15.3,20.9,1898~1990
18,法蘭克福,-1.3,-1.2,1.9,4.1,8.4,11.7,13.7,13.4,10.1,6.0,2.1,0.0,5.7,1971~2000
19,芝加哥,-8.6,-6.6,-1.6,3.8,9.1,14.5,17.7,17.2,12.4,6.0,0.2,-6.3,4.8,1981~2010
20,阿姆斯特丹,0.5,0.2,2.4,4.0,7.8,10.4,12.5,12.3,10.2,7.0,3.9,1.9,6.1,1971~2000
21,威尼斯,-0.1,0.8,4.1,7.8,12.7,16.1,18.3,17.7,14.3,9.6,4.0,0.6,8.8,1971~2000
22,威靈頓,14.4,14.3,13.5,11.3,9.1,7.3,6.4,6.9,8.3,9.7,11.3,13.2,10.5,1961~1990
23,柏林,-1.9,-1.5,1.3,4.2,9.0,12.3,14.3,14.1,10.6,6.4,2.2,-0.4,5.9,1971~2000
24,洛杉磯,8.8,9.6,10.6,11.9,13.9,15.7,17.6,17.8,17.3,14.8,11.1,8.6,13.1,1981~2010
25,胡志明市,21.1,22.5,24.4,25.8,25.2,24.6,24.3,24.3,24.4,23.9,22.8,21.4,23.7,1906~1990
26,首爾,-7.1,-4.8,0.4,7.0,12.5,17.4,21.6,22.2,16.5,9.5,2.6,-4.0,7.8,1961~1990
27,倫敦,3.1,2.7,4.6,5.9,8.9,11.8,13.7,13.8,11.4,8.8,5.8,3.4,7.8,1981~2010
28,哥本哈根,-2.0,-2.0,-1.0,2.0,7.0,11.0,13.0,13.0,10.0,7.0,3.0,-1.0,5.0,1961~1990
29,海參威,-16.3,-13.7,-5.6,1.3,6.4,10.6,15.4,17.4,12.5,5.2,-4.2,-12.5,1.4,.
30,紐約,-2.8,-1.7,1.8,7.1,12.2,17.6,20.4,19.9,16.0,10.0,5.3,0.0,8.8,1981~2010
31,馬尼拉,23.5,23.8,24.9,26.2,26.7,26.2,25.8,25.5,25.5,25.5,24.9,23.9,25.2,1971~2000
32,馬德里,2.6,3.7,5.6,7.2,10.7,15.1,18.4,18.2,15.0,10.2,6.0,3.8,9.7,1971~2000
33,曼谷,21.0,23.3,24.9,26.1,25.6,25.4,25.0,24.9,24.6,24.3,23.1,20.8,24.1,1961~1990
34,莫斯科,-12.3,-11.1,-5.6,1.7,7.6,11.5,13.5,12.0,7.1,2.1,-3.3,-8.6,1.2,.
35,雪梨,19.6,19.7,18.1,15.3,12.5,9.7,8.7,9.7,12.0,14.4,16.3,18.3,14.5,1981~2010
36,斯德哥爾摩,-5.0,-5.0,-3.0,1.0,6.0,11.0,13.0,13.0,9.0,5.0,1.0,-3.0,3.6,1961~1990
37,華沙,-4.8,-4.0,-1.0,3.1,8.1,11.3,12.9,12.3,8.6,4.4,0.3,-2.8,4.0,1971~2000
38,開羅,9.0,9.8,11.7,14.7,17.5,20.4,21.7,21.9,20.4,17.9,13.8,10.3,15.8,1961~1990
39,雅加達,24.2,24.3,25.2,25.1,25.4,24.8,25.1,24.9,25.5,25.5,24.9,24.9,25.0,.
40,雅典,5.2,5.4,6.7,9.6,13.9,18.2,20.8,20.7,17.3,13.4,9.8,6.8,12.3,1955~1997
41,奧克蘭,15.8,15.9,14.9,12.5,9.9,7.9,6.9,7.9,9.4,10.9,12.6,14.3,11.6,1961~1990
42,奧斯陸,-6.8,-6.8,-3.3,0.8,6.5,10.6,12.2,11.3,7.5,3.8,-1.5,-5.6,2.4,1961~1990
43,新加坡,23.1,23.5,23.9,24.3,24.6,24.5,24.2,24.2,23.9,23.9,23.6,23.3,23.9,.
44,新德里,7.6,10.1,15.3,21.6,25.9,27.8,26.8,26.3,24.7,19.6,13.2,8.5,19.0,1971~1990
45,溫哥華,0.5,1.5,3.1,5.3,8.4,11.2,13.2,13.4,10.5,6.6,3.1,0.8,6.5,1971~2000
46,維也納,-2.0,-0.9,2.4,5.8,10.5,13.5,15.4,15.3,11.7,7.0,2.4,-0.5,6.7,1971~2000
47,墨西哥城,5.8,7.1,9.2,10.8,11.7,12.2,11.5,11.6,11.5,9.8,7.9,6.6,9.6,1951~1980
48,墨爾本,15.6,16.0,14.5,11.8,9.8,7.9,7.1,7.8,9.2,10.6,12.6,14.1,11.4,1981~2010
49,檀香山,19.1,18.9,19.8,20.8,21.6,23.0,23.6,23.9,23.6,23.0,21.9,20.2,21.6,1981~2010
50,邁阿密,17.3,18.3,19.4,21.2,23.6,25.1,26.1,26.1,25.6,24.0,21.4,18.8,22.2,1981~2010
51,舊金山,7.6,8.6,9.2,9.6,10.6,11.6,12.3,12.8,12.8,12.1,10.1,7.8,10.4,1981~2010
52,羅馬,3.1,3.5,5.2,7.5,11.6,15.3,18.0,18.3,15.2,11.3,6.9,4.2,10.0,1971~2000
